Time (Local),Type,Notes,Photo Link
2022-04-30 23:47:20,food,JJ 7,
2022-04-27 09:05:53,food,Athletic greens,
2022-04-26 20:07:31,food,Almond butter Ezekiel toast,
2022-04-26 17:47:35,food,Chips and guacamole,
2022-04-26 17:34:25,food,Margarita,
2022-04-26 16:22:31,food,kombucha,https://levels.imgix.net/food-log/ai2wqluhixm3nynqtaf803.jpg
2022-04-26 13:39:10,food,Almond butter toast and leftover bbq,https://levels.imgix.net/food-log/926bfzejaef51rpqpa2bwc.jpg
2022-04-26 12:39:54,food,Kale orzo salad,https://levels.imgix.net/food-log/25k0iyr9x6yty15nahiihc.jpg
2022-04-26 10:40:14,food,"Muesli with almond butter, chia seeds, collagen, creatine, kefir, cinnamon alongisde coffee",https://levels.imgix.net/food-log/keochaflsvhcqut30i4rlu.jpg
2022-04-26 10:00:31,food,Athletic greens,
2022-04-25 19:06:42,food,Bbq,https://levels.imgix.net/food-log/34g8y6g6q364zfpulbn1yr.jpg
2022-04-25 18:16:53,food,raspberry,https://levels.imgix.net/food-log/xqusmitb19dxgqbl19nj4.jpg
2022-04-25 17:39:07,food,Sardines,https://levels.imgix.net/food-log/rjpafucby4erjlc2mhse7.jpg
2022-04-25 12:24:31,food,Kale orzo salad,https://levels.imgix.net/food-log/o1nhyc38srmzxwpxi9u4j.jpg
2022-04-25 11:17:10,food,"Muesli with almond butter, chia seeds, collagen, creatine, kefir and althetic greens",https://levels.imgix.net/food-log/pbtk1qrhh1rmu6493lfc.jpg
2022-04-28 10:02:26,food,"Muesli with almond butter, chia seeds, collagen, creatine, kefir, cinnamon alongisde coffee",https://levels.imgix.net/food-log/tmyyykxv53nzkus2s0fzv.jpg
2022-04-27 19:38:50,food,"Chicken breast, broccoli, cauliflower rice",
2022-04-27 19:00:43,food,Bone broth,
2022-04-27 15:13:12,food,"3 eggs, butter toast, almond butter toast",https://levels.imgix.net/food-log/i71vimougeju3e99pn8eh.jpg
2022-04-27 12:31:57,food,"3 eggs, butter toast, almond butter toast alongside tumeric tea",https://levels.imgix.net/food-log/xksxikovcmf6cxw2f2whx7.jpg
2022-04-27 09:40:46,food,"Muesli with almond butter, chia seeds, collagen, creatine, kefir, cinnamon alongisde coffee",https://levels.imgix.net/food-log/i1cejzt9nqawi8b118q0i.jpg
2022-10-25 13:50:43,food,4 eggs and avocado toast,https://levels.imgix.net/food-log/75pbnwkdqrk78c9raxqff8.jpg
2022-10-25 09:30:49,note,"Supplement: vitamin d3, 5000 IU; fish oil, 800 mg EPA, 600 mg DHA; magnesium oxide, 400 mg; slowmag, 2 capsules; probiotic;",
2022-10-25 09:03:40,note,Coffee: pour over,https://levels.imgix.net/food-log/tzsmfkgenohmo8nhaz392e.jpg
2022-10-25 09:03:30,food,Muesli,https://levels.imgix.net/food-log/2gab3900nj4wz8griq1zh.jpg
2022-10-25 08:51:27,note,Supplement: athletic greens,
2022-10-24 19:19:30,food,Protein bar,https://levels.imgix.net/food-log/ad1p7lycpiphciukvspg08.jpg
2022-10-24 16:48:58,food,Leftover orzo and chicken soup,
2022-10-24 14:32:10,food,"4 eggs with cilantro and spinach, avocado toast and almond butter toast",https://levels.imgix.net/food-log/h78709ihdybwcwdc7i8wi.jpg
2022-10-24 11:23:24,food,Sardines,
2022-10-24 08:51:26,note,"Supplement: vitamin d3, 5000 IU; fish oil, 800 mg EPA, 600 mg DHA; magnesium oxide, 400 mg; slowmag, 2 capsules; probiotic;",
2022-10-24 08:40:30,note,Coffee: pour over,https://levels.imgix.net/food-log/pnrd7rloa19hnl96ckvn49.jpg
2022-10-24 08:38:04,food,Muesli,https://levels.imgix.net/food-log/ciqpw6ga7uxfk62h41ixp.jpg
2022-10-24 08:37:55,note,Supplement: athletic greens,
2022-10-23 12:01:51,note,"Supplement: vitamin d3, 5000 IU; fish oil, 800 mg EPA, 600 mg DHA; magnesium oxide, 400 mg; slowmag, 2 capsules; probiotic;",
2022-10-23 11:57:27,food,Muesli,https://levels.imgix.net/food-log/7r9ci97yl7w27gx2gbdo0d.jpg
2022-10-23 10:25:57,note,Coffee: pour over,
2022-10-23 08:35:50,note,Supplement: athletic greens,
2022-10-22 23:01:06,food,Coney dog,https://levels.imgix.net/food-log/cgt07v1b607plkzggyakbe.jpg
2022-10-22 17:47:08,note,Alcohol: margarita,https://levels.imgix.net/food-log/fajhxe7dor7326iv15a6v3.jpg
2022-10-22 16:03:43,food,Spicy nuggets,https://levels.imgix.net/food-log/65id8w1hn95qe6ldu1gkx.jpg
2022-10-22 15:58:06,note,Alcohol: beer,https://levels.imgix.net/food-log/ubsry39p99446782dgsxy.jpg
2022-10-22 12:41:05,food,4 eggs and avocado and jalepeno wrap,https://levels.imgix.net/food-log/2e3xq7v0r5qro0oh0b9ts.jpg
2022-10-22 11:33:20,note,Coffee: nespresso ,https://levels.imgix.net/food-log/wi2j9gq8bc8ha6tdo0ira.jpg
2022-10-22 10:29:27,note,"Supplement: vitamin d3, 5000 IU; fish oil, 800 mg EPA, 600 mg DHA; magnesium oxide, 400 mg; slowmag, 2 capsules; probiotic;",
2022-10-22 10:18:54,note,Coffee: nespresso ,https://levels.imgix.net/food-log/xw1vwskzw0do0n8p42x0j.jpg
2022-10-22 10:18:47,food,Muesli,https://levels.imgix.net/food-log/d0xb6i0645upk522vtp65.jpg
2022-10-22 10:16:48,note,Supplement: athletic greens,
2022-10-21 17:14:11,food,dark chocolate ,
2022-10-21 17:02:30,food,,https://levels.imgix.net/food-log/c40ezca8qpbr8rd7p3gkj.jpg
2022-10-21 12:33:47,note,Coffee: nespresso ,
2022-10-21 12:33:22,food,4 eggs and avocado and jalepeno wrap,https://levels.imgix.net/food-log/5cze8lsbm8o3ona965o0g.jpg
2022-10-21 11:31:55,food,Sardines,https://levels.imgix.net/food-log/c6qqywogartgjvnrpo6jlo.jpg
2022-10-21 08:30:11,note,"Supplement: vitamin d3, 5000 IU; fish oil, 800 mg EPA, 600 mg DHA; magnesium oxide, 400 mg; slowmag, 2 capsules; probiotic;",
2022-10-21 08:21:12,note,Coffee: nespresso ,https://levels.imgix.net/food-log/5kx0ka9t4sab94aah4bgo5.jpg
2022-10-21 08:21:05,food,Muesli,https://levels.imgix.net/food-log/asurehw9acgfzkj13magtl.jpg
2022-10-21 08:17:33,note,Supplement: athletic greens,
2022-10-20 20:15:59,food,,
2022-10-20 19:33:31,food,Chicken orzo soup,https://levels.imgix.net/food-log/crw4232ufnwg9f7nmehv57.jpg
2022-10-20 16:59:09,food,"Eggs, avocado and tortilla",https://levels.imgix.net/food-log/sufc32vc25wx0zdcnyh.jpg
2022-10-20 15:05:44,food,blueberries ,https://levels.imgix.net/food-log/vl3ct3gx4d50nx43zp51c.jpg
2022-10-20 13:31:41,food,Sardines,https://levels.imgix.net/food-log/fvvoocb076hgk5afaz6rfk.jpg
2022-10-20 11:01:21,note,Coffee: nespresso ,https://levels.imgix.net/food-log/cjyzhazwd5sxhaxg9z9h7g.jpg
2022-10-20 11:01:11,food,Muesli,https://levels.imgix.net/food-log/y1z7oyn3pj4r88a54q0cq.jpg
2022-10-20 10:58:52,note,Supplement: athletic greens,
2022-10-19 21:41:33,note,"Supplement: vitamin d3, 5000 IU; fish oil, 800 mg EPA, 600 mg DHA; magnesium oxide, 400 mg; slowmag, 2 capsules; probiotic;",
2022-10-19 19:34:21,food,Chinese takeout,https://levels.imgix.net/food-log/luirz688weqclvo3xo0c9i.jpg
2022-10-19 18:45:32,food,Protein shake,
2022-10-19 10:26:33,note,Coffee: nespresso ,
2022-10-19 09:36:41,food,Muesli,https://levels.imgix.net/food-log/p654exgmg0q5iofj1f28e.jpg
2022-10-19 09:36:30,note,Coffee: intelligencia,
2022-10-19 09:36:20,note,Supplement: athletic greens,
2022-10-18 21:51:49,note,"Supplement: Magtein, 2 capsules;",
2022-10-18 17:52:04,food,Blueberries,
2022-10-18 17:37:03,food,Steak and sweet potatoes and broccoli,https://levels.imgix.net/food-log/khzine03kphsn2fn0xjfeb.jpg
2022-10-18 15:04:27,food,2 eggs and french toast with butter and almond butter,
2022-10-18 12:20:52,food,Turkey spinach wrap,https://levels.imgix.net/food-log/uovuvrqdjimrr6d4g2yzg.jpg
2022-10-18 11:24:23,note,"Supplement: vitamin d3, 5000 IU; fish oil, 800 mg EPA, 600 mg DHA; magnesium oxide, 400 mg; slowmag, 2 capsules; probiotic;",
2022-10-18 11:20:50,food,"Turkey wrap with avocado, tomato, spinach with egg wrap and blueberries",https://levels.imgix.net/food-log/nhchxlevwmpt6sp1b97g.jpg
2022-10-18 11:06:28,note,Coffee: nespresso,
2022-10-18 11:06:12,food,Muesli,https://levels.imgix.net/food-log/00x5slev5pqnlvedfh1qd4.jpg
2022-10-18 11:03:25,note,Supplement: athletic greens,
2022-10-17 21:30:04,note,"Supplement: Magtein, 2 capsules;",
2022-10-17 19:08:45,food,"Venison, broccoli, sweet potatoes",https://levels.imgix.net/food-log/67vs233r4yctu3ae173b7.jpg
2022-10-17 16:21:05,food,85% dark chocolate,https://levels.imgix.net/food-log/gh4ttig41yjs48ekbx079.jpg
2022-10-17 16:16:02,food,3 eggs and butter toast,
2022-10-17 15:13:50,food,Sardines,https://levels.imgix.net/food-log/1tcuqts3nvjvnzs5bi16qa.jpg
2022-10-17 15:12:52,food,Scoop of almond butter,
2022-10-17 11:23:22,note,"Marijuana: edible, 5mg",
2022-10-17 10:03:04,note,"Supplement: vitamin d3, 5000 IU; fish oil, 800 mg EPA, 600 mg DHA; magnesium oxide, 400 mg; slowmag, 2 capsules; probiotic;",
2022-10-17 09:50:54,food,Muesli,https://levels.imgix.net/food-log/v7qc6ej244ikt2zci28dek.jpg
2022-10-17 09:42:25,note,Coffee: nespresso,https://levels.imgix.net/food-log/lfhlvhwtb7bprtbc3c4ub.jpg
2022-10-17 09:41:17,note,Supplement: athletic greens,
2022-10-16 20:53:08,note,Alcohol: michelob ultra,
2022-10-16 18:55:14,note,Alcohol: 312 beer,https://levels.imgix.net/food-log/lsc44nnfjedlw7nnfxj1wa.jpg
2022-10-16 18:51:32,food,Italian beef sausage combo,https://levels.imgix.net/food-log/cyf2it2tlqjbtpceozscbg.jpg
2022-10-16 17:34:01,food,Sardines,https://levels.imgix.net/food-log/m7ah9x9c1yttpqkw1pze.jpg
2022-10-16 16:04:58,food,"4 eggs, ezekiel toast with butter, almond butter toast",
2022-10-16 12:21:45,food,Leftover pho,https://levels.imgix.net/food-log/w5mmc0tki5qc853pt7c9rb.jpg
2022-10-16 10:52:08,note,"Supplement: Magtein, 2 capsules;",
2022-10-16 10:12:00,note,"Supplement: vitamin d3, 5000 IU; fish oil, 800 mg EPA, 600 mg DHA; magnesium oxide, 400 mg; slowmag, 2 capsules; probiotic;",
2022-10-16 09:59:21,note,Coffee: nespresso,https://levels.imgix.net/food-log/6i5cmw8zuhs88cjlawctvj.jpg
2022-10-16 09:59:13,food,Muesli,https://levels.imgix.net/food-log/vtdrl9c1io72gyg9ugl7x.jpg
2022-10-16 09:45:27,note,Supplement: athletic greens,
2022-10-15 22:26:22,note,"Supplement: Magtein, 2 capsules;",
2022-10-15 21:07:26,note,Alcohol: Heineken,
2022-10-15 20:01:44,note,Alcohol: ranch water,
2022-10-15 19:56:21,food,Sushi,https://levels.imgix.net/food-log/oa525dovd5kwta6vdx3wu.jpg
2022-10-15 19:35:58,food,miso soup ,https://levels.imgix.net/food-log/2m58k1xuhd6dikfx0hmn3.jpg
2022-10-15 19:19:33,note,Alcohol: ranch water,
2022-10-15 18:33:48,note,Alcohol: jameson shot,
2022-10-15 14:07:29,note,Alcohol: bud light,https://levels.imgix.net/food-log/sncj4481er87abiqdv4jk.jpg
2022-10-15 12:54:43,food,Farmer’s breakfast,https://levels.imgix.net/food-log/jypxpijtkcheniwg5iw1w.jpg
2022-10-15 12:41:29,food,Cheese curds,https://levels.imgix.net/food-log/xgb6alxcgt8qkishyxn0k.jpg
2022-10-15 12:19:05,note,Alcohol: old fashioned,https://levels.imgix.net/food-log/atqttefgzow3701t3burt.jpg
2022-10-15 11:05:33,note,"Supplement: vitamin d3, 5000 IU; fish oil, 800 mg EPA, 600 mg DHA; magnesium oxide, 400 mg; slowmag, 2 capsules; probiotic;",
2022-10-15 11:05:25,food,Muesli,https://levels.imgix.net/food-log/63ijagh46a8vcwa8eq5mg.jpg
2022-10-15 11:04:51,note,Coffee: nespresso,https://levels.imgix.net/food-log/cfhzsp8efptivdnrpbslk.jpg
2022-10-15 11:04:41,note,Supplement: athletic greens,
2022-10-14 22:20:16,note,"Supplement: Magtein, 2 capsules;",
2022-10-14 20:46:25,food,Dark chocolate,https://levels.imgix.net/food-log/sx4428h5jh5y8li64hvq5.jpg
2022-10-14 19:59:58,food,Venison Ribs and pho,https://levels.imgix.net/food-log/ulpot1nqp8hrqaokk4yjed.jpg
2022-10-14 19:37:49,note,"Marijuana: edible, 5mg",
2022-10-14 19:29:00,note,Alcohol: gin apple martini,https://levels.imgix.net/food-log/q2q32sdkx7phz3ansxjm.jpg
2022-10-14 15:52:57,food,avocado toast ,https://levels.imgix.net/food-log/rwlkzaz8n7bw5fb54ca2u9.jpg
2022-10-14 15:44:05,note,Alcohol: spotted cow,https://levels.imgix.net/food-log/vafbx34yj1hyzptlmvmw5.jpg
2022-10-14 12:20:49,food,French onion soup with Gruyère toast,https://levels.imgix.net/food-log/b1nydyog7n651536vxa6uc.jpg
2022-10-14 10:54:21,note,"Supplement: vitamin d3, 5000 IU; fish oil, 800 mg EPA, 600 mg DHA; magnesium oxide, 400 mg; slowmag, 2 capsules;",
2022-10-14 09:43:49,food,Muesli ,https://levels.imgix.net/food-log/l5s09i3ofwfdqqh21vn0jl.jpg
2022-10-14 09:41:05,note,Coffee: nespresso,
2022-10-14 09:40:58,note,Supplement: athletic greens,
2022-10-13 22:13:32,note,"Supplement: Magtein, 2 capsules;",
2022-10-13 21:28:49,food,Pizza and wings,https://levels.imgix.net/food-log/3bqzavme8sw02ae59yo4js.jpg
2022-10-13 17:54:31,food,Egg on avocado toast with almond butter toast and blueberries,https://levels.imgix.net/food-log/imb24ij4k5d9nbnws6rqu.jpg
2022-10-13 13:00:52,food,Gyro plate,https://levels.imgix.net/food-log/wwedkg3rqe1xupzlr63mc.jpg
2022-10-13 11:05:51,note,Coffee: nespresso,https://levels.imgix.net/food-log/65zeh00bsgphlpuy2uioqr.jpg
2022-10-13 09:50:31,note,"Supplement: vitamin d3, 5000 IU; fish oil, 800 mg EPA, 600 mg DHA; magnesium oxide, 400 mg; slowmag, 2 capsules;",
2022-10-13 09:45:53,note,Coffee: nespresso,https://levels.imgix.net/food-log/dcio6f95z2wbx5astemokd.jpg
2022-10-13 09:37:56,food,Muesli ,https://levels.imgix.net/food-log/7oy39po8aeiwgzvfz1kdma.jpg
2022-10-13 09:35:58,note,Supplement: athletic greens,https://levels.imgix.net/food-log/gh1zltbfpv43snt90klb6o.jpg
2022-10-12 22:06:19,note,"Supplement: Magtein, 2 capsules;",
2022-10-12 20:30:12,food,Blueberries,
2022-10-12 19:34:16,food,SEARED LOIN FILET WITH CHARRED SCALLION MISO CREAM SAUCE,https://levels.imgix.net/food-log/jtejbp7cl9r8nzisuvn1.jpg
2022-10-12 13:30:28,food,3 eggs on ezekiel bread and almond butter on ezekiel bread,https://levels.imgix.net/food-log/9siwp70mavanpc7xeljq7.jpg
2022-10-12 09:05:54,note,"Supplement: vitamin d3, 5000 IU; fish oil, 800 mg EPA, 600 mg DHA; magnesium oxide, 400 mg; slowmag, 2 capsules;",https://levels.imgix.net/food-log/ybllpl54ge8vgjmaulex5n.jpg
2022-10-12 09:05:45,note,Coffee: nespresso,https://levels.imgix.net/food-log/zd0cuzo1gwb3swl28ym7z.jpg
2022-10-12 09:05:37,food,Muesli ,https://levels.imgix.net/food-log/l9xki30zl4nk2vevfvywj.jpg
2022-10-12 09:02:28,note,Supplement: athletic greens,https://levels.imgix.net/food-log/0mlksc41i3ae4ro5lpij91.jpg
2022-10-11 22:10:00,note,"Supplement: Magtein, 2 capsules;",
2022-10-11 18:25:20,food,Sweetgreen,https://levels.imgix.net/food-log/mg1gzynfx2kk7razxdlp9.jpg
2022-10-11 14:27:59,food,3 eggs on ezekiel bread and almond butter on ezekiel bread,https://levels.imgix.net/food-log/gi5bi46odlv4ow9jlgah.jpg
2022-10-11 10:45:19,note,"Supplement: vitamin d3, 5000 IU; fish oil, 800 mg EPA, 600 mg DHA; magnesium oxide, 400 mg; slowmag, 2 capsules;",https://levels.imgix.net/food-log/hgdiqts8j3u3ippnahl482.jpg
2022-10-11 10:43:54,note,Coffee: nespresso,https://levels.imgix.net/food-log/d1gek27ptx1zpobn07ysb.jpg
2022-10-11 10:28:02,food,Muesli ,https://levels.imgix.net/food-log/amo6gys2d8fqw2567tvgbh.jpg
2022-10-11 10:24:20,note,Supplement: athletic greens,
2022-10-10 19:26:34,food,French onion soup and chicken breast,https://levels.imgix.net/food-log/c4vkjuad3rgw4botoueuhb.jpg
2022-10-10 18:31:51,food,Muesli ,
2022-10-10 13:47:41,food,3 eggs and avocado toast,https://levels.imgix.net/food-log/5kxbga5fnqk1f60jyjicu5.jpg
2022-10-10 10:51:01,note,"Supplement: vitamin d3, 5000 IU; fish oil, 800 mg EPA, 600 mg DHA; magnesium oxide, 400 mg; slowmag, 2 capsules;",https://levels.imgix.net/food-log/9ohcapmc6mouq6q77b514.jpg
2022-10-10 10:45:06,note,Coffee: nespresso,
2022-10-10 10:29:08,food,Muesli ,https://levels.imgix.net/food-log/8e95sklyc5sqy7jrf9adbb.jpg
2022-10-10 10:28:45,note,Supplement: athletic greens,https://levels.imgix.net/food-log/ke90v9d5iyuvd3hy879eo.jpg
2022-10-09 21:00:17,note,"Supplement: Magtein, 2 capsules;",
2022-10-09 17:46:15,food,Thai food from Krung Thep,
2022-10-09 14:51:32,food,Venison meatballs with yogurt sauce,https://levels.imgix.net/food-log/plgm9md0fahpohekzggh4.jpg
2022-10-09 13:54:19,food,3 eggs and avocado toast,https://levels.imgix.net/food-log/vurp07n2rnsh03yyz3cp8f.jpg
2022-10-09 10:53:06,food,"Supplement: vitamin d3, 5000 IU; fish oil, 800 mg EPA, 600 mg DHA; magnesium oxide, 400 mg, 2 slowmag",https://levels.imgix.net/food-log/e9qvrzk3wrrpmmdyz4gnz.jpg
2022-10-09 10:43:24,note,Coffee: nespresso,https://levels.imgix.net/food-log/dkmqu8zqogiy3w2ks2hm1.jpg
2022-10-09 10:43:10,food,Muesli,https://levels.imgix.net/food-log/e6x1z10lqsqp5h0loi5vb.jpg
2022-10-09 09:23:22,food,supplement: athletic greens,https://levels.imgix.net/food-log/ypt431ude32msyiwtna0q.jpg
2022-07-19 20:03:59,food,Kale orzo salad with steak,https://levels.imgix.net/food-log/omh9spli8s7x5wu2zvysz.jpg
2022-07-19 15:45:08,food,Sardines,
2022-07-19 12:46:23,food,3 eggs and sockeye salmon,https://levels.imgix.net/food-log/1rtl2n08ubi4975dms7gal.jpg
2022-07-19 09:10:02,food,Muesli,https://levels.imgix.net/food-log/b66cx5rqjwot9j7z82evg.jpg
2022-07-18 19:27:54,food,Spinach and artichoke pasta with chicken breast,https://levels.imgix.net/food-log/8ma545dxu75wg2r3kj50pj.jpg
2022-07-18 17:00:43,food,Sardines,
2022-07-18 11:17:27,food,"3 eggs, turkey sandwich, cucumbers",https://levels.imgix.net/food-log/qnvl7p9km3iew5nh7pai2u.jpg
2022-06-06 09:40:00,food,Museli,
2022-06-06 09:35:53,food,Athletic greens,https://levels.imgix.net/food-log/0ul7j5v4e3h5kr1ihcyi1q.jpg
2022-05-05 12:09:38,food,4 eggs with butter toast with muelsi mix,https://levels.imgix.net/food-log/k9x312yh5oqy498lg2u64.jpg
2022-05-05 12:08:55,food,Athletic greens,
2022-05-04 14:39:44,food,Matcha and chocolate cream puff,https://levels.imgix.net/food-log/hlxj0nu376c99tnbtxms6e.jpg
2022-05-04 14:16:16,food,Etta bubbling shrimp and chicken sandwich,
2022-05-04 10:40:37,food,"Muesli with almond butter, chia seeds, collagen, creatine, kefir, cinnamon",https://levels.imgix.net/food-log/j0xbohziclqb6p3bpuutd.jpg
2022-05-04 10:27:57,food,Sardines,https://levels.imgix.net/food-log/f787jk4zpedvmuopbew318.jpg
2022-05-04 10:25:32,food,Athletic greens,
2022-05-03 19:26:26,food,"Sausage, spinach pasta",https://levels.imgix.net/food-log/7aqpl66cc6zh18ifv5y2.jpg
2022-05-03 17:22:41,food,"Muesli with almond butter, chia seeds, collagen, creatine, kefir, cinnamon",https://levels.imgix.net/food-log/kq21389guz3lo1k3is7yw.jpg
2022-05-03 14:31:03,food,Greek pita,https://levels.imgix.net/food-log/zf62pcxa2fdv7ozqi6raa.jpg
2022-05-03 11:08:07,food,Steak and eggs,https://levels.imgix.net/food-log/62rp8jhuuf3fcf8rlsg91.jpg
2022-05-03 09:47:13,food,Athletic greens,
2022-05-02 20:27:56,food,Theo dark chocolate with almond butter,https://levels.imgix.net/food-log/sgr8cs0j9y85xhez499pi.jpg
2022-05-02 19:50:14,food,"Braised Chicken thigh with artichoke hearts, kale, onion, fennel, lemon",https://levels.imgix.net/food-log/xoedpxtmhvjt0q5va7wpg.jpg
2022-05-02 14:57:56,food,Musheli,https://levels.imgix.net/food-log/a04ap38j1fnalupu7uhpl.jpg
2022-05-02 11:57:03,food,Greek bowl leftovers,https://levels.imgix.net/food-log/i34fu2s24tpdc151q1x2c.jpg
2022-05-02 11:54:58,food,Bone broth,https://levels.imgix.net/food-log/wqcz35ocp9p8yn8ufemq9m.jpg
2022-05-02 11:49:50,food,Athletic greens with creatine,https://levels.imgix.net/food-log/vnmggrojx8a7sl03j8e7fe.jpg
2022-05-01 19:45:49,food,Almond butter toast,https://levels.imgix.net/food-log/xs9fz1m5xcmxy8jnkqhc7.jpg
2022-05-01 19:13:58,food,Almond cookie and dark chocolate,
2022-05-01 18:26:05,food,Peking duck dinner,https://levels.imgix.net/food-log/ij2ir4w8mlggirmivtipv.jpg
2022-05-01 16:47:25,food,Greek bowl leftovers,https://levels.imgix.net/food-log/5rrnnvnhrg1jnez9doo8z.jpg
2022-05-01 16:45:17,food,Athletic greens with creatine,https://levels.imgix.net/food-log/vnmggrojx8a7sl03j8e7fe.jpg
2022-05-01 12:04:58,food,"Dunkin egg bites and egg, turkey sausage sandwich",https://levels.imgix.net/food-log/858nmrbloumt9itbapa4e.jpg
2022-04-30 23:51:32,food,Jj 12,
2022-04-30 23:49:30,food,JJ 7,
2022-04-30 17:55:43,food,Bulrush STL,
2022-04-30 13:18:13,food,Grilled chick fil a sandwich with grilled nuggets,https://levels.imgix.net/food-log/sblzr2lvs4y0of4ji8qwj.jpg
2022-04-30 10:08:59,food,"Athletic greens with creatine alongside 4 eggs, butter toast, almond butter toast",https://levels.imgix.net/food-log/h87ml0611k5w2ejlh85dl.jpg
2022-04-29 19:18:05,food,Mediterranean night,https://levels.imgix.net/food-log/kt6xfht8zqblmlqi0rk7o.jpg
2022-04-29 14:28:27,food,4 eggs with butter toast alongside muesli mix and althletic greens,https://levels.imgix.net/food-log/bphi0qo1gp8oy28cddi6g.jpg
2022-04-28 19:45:39,food,tiramisu,https://levels.imgix.net/food-log/wo2gzaqzjzkgi8kb0bsnse.jpg
2022-04-28 18:55:26,food,Tortello takeout,https://levels.imgix.net/food-log/7m7qqy6itgetmxqxsqj9m.jpg
2022-04-28 14:54:04,food,"Leftover chicken breast, broccoli, cauliflower rice alongside kombucha",https://levels.imgix.net/food-log/77ndp4u96r9u3poscn5cwm.jpg
2022-04-28 12:44:12,food,"3 eggs, butter toast, almond butter toast",https://levels.imgix.net/food-log/44v643euan34ij74ognu53.jpg
2022-04-28 12:38:27,food,Bone broth,https://levels.imgix.net/food-log/wqcz35ocp9p8yn8ufemq9m.jpg
